xmcotahr1;X-Men: Children of the Atom (Hispanic 950105);Mame;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj1;X-Men - children of the atom (941222 Japan);Final Burn Alpha;xmcota;1994;Capcom;;;;;;0;;;;;
xmcotaj1;X-Men Children of the Atom (Japan 941222);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj1;X-Men Children of the Atom (Japan 941222);Mame (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj1;X-Men Children of the Atom (Japan 941222);Mame (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj1;X-Men Children of the Atom (Japan 941222);Mame (Mame4all);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj1;X-Men Children of the Atom (Japan 941222);Mame;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj1;X-Men: Children of the Atom (Japan 941222);Arcade;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj1;X-Men: Children of the Atom (Japan 941222);Final Burn Alpha;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj1;X-Men: Children of the Atom (Japan 941222);Mame (advance);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj1;X-Men: Children of the Atom (Japan 941222);Mame (libretro);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj1;X-Men: Children of the Atom (Japan 941222);Mame (mame4all);xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj1;X-Men: Children of the Atom (Japan 941222);Mame;xmcota;1994;Capcom;Fighter;;;;;0;;;;;
xmcotaj2;X-Men - children of the atom (941219 Japan);Final Burn Alpha;xmcota;1994;Capcom;;;;;;0;;;;;
xmcotaj2;X-Men Children of the Atom (Japan 941219);Arcade;xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj2;X-Men Children of the Atom (Japan 941219);Mame (Advance);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
xmcotaj2;X-Men Children of the Atom (Japan 941219);Mame (Libretro);xmcota;1994;Capcom;Fighter / Versus;;;;;0;;;;;
