#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Final Fantasy X (USA);Final Fantasy X (USA);Sony PlayStation 2;;2001;SquareSoft;Role-Playing;;;;;0;;;;;
Final Fantasy X-2 (USA);Final Fantasy X-2 (USA);Sony PlayStation 2;;2003;SquareSoft;Role-Playing;;;;;0;;;;;
Final Fantasy XI (USA);Final Fantasy XI (USA);Sony PlayStation 2;;2004;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy XI - Chains of Promathia (USA);Final Fantasy XI - Chains of Promathia (USA);Sony PlayStation 2;;2004;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy XI - Treasures of Aht Urhgan (USA);Final Fantasy XI - Treasures of Aht Urhgan (USA);Sony PlayStation 2;;2006;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy XI - Wings of the Goddess (USA);Final Fantasy XI - Wings of the Goddess (USA);Sony PlayStation 2;;2007;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy XII (USA);Final Fantasy XII (USA);Sony PlayStation 2;;2006;Square Enix;Role-Playing;;;;;0;;;;;
Final Fantasy XII - Revenant Wings (USA);Final Fantasy XII - Revenant Wings;Nintendo DS;;;;;;;;;0;;;;;
Final Fantasy;Final Fantasy;OpenBOR;;;;;;;;;;;;;;
Theatrhythm Final Fantasy (USA);Theatrhythm Final Fantasy (USA);Nintendo 3DS;;2012;Square Enix;Rhythm;;;;;0;;;;;
Theatrhythm Final Fantasy (USA);Theatrhythm Final Fantasy (USA);Nintendo 3DS;;;Square Enix;;;;;;0;;;;;
Theatrhythm Final Fantasy - Curtain Call (USA);Theatrhythm Final Fantasy: Curtain Call (USA);Nintendo 3DS;;2014;Square Enix;Rhythm;;;;;0;;;;;
Theatrhythm Final Fantasy: Curtain Call (USA);Theatrhythm Final Fantasy: Curtain Call (USA);Nintendo 3DS;;;Square Enix;;;;;;0;;;;;
