#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);Final Burn Alpha;;1999;Taito (SNK license);Puzzle;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);MAME (Advance);;1999;Taito (SNK license);Puzzle;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);MAME (Libretro);;1999;Taito (SNK license);Puzzle;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);MAME (Mame4all);;1999;Taito (SNK license);Puzzle;;;;;0;;;;;
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);MAME;;1999;Taito (SNK license);Puzzle;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);Arcade;;1995;Taito Corporation Japan;Puzzle / Toss;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);Arcade;;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);Final Burn Alpha;;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);HBMame;;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);MAME (Advance);;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);MAME (Libretro);;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);MAME (Mame4all);;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2;Puzzle Bobble 2 (Ver 2.3O 1995/07/31);MAME;;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);Arcade;pbobble2;1995;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);Arcade;pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);Final Burn Alpha;pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);MAME (Advance);pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);MAME (Libretro);pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);MAME (Mame4all);pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2j;Puzzle Bobble 2 (Ver 2.2J 1995/07/20);MAME;pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);Arcade;pbobble2;1995;Taito Corporation Japan;Puzzle / Toss;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);Arcade;pbobble2;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);Final Burn Alpha;pbobble2;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);MAME (Advance);pbobble2;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);MAME (Libretro);pbobble2;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);MAME (Mame4all);pbobble2;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2o;Puzzle Bobble 2 (Ver 2.2O 1995/07/20);MAME;pbobble2;1995;Taito Corporation Japan;Puzzle;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);Arcade;pbobble2;1995;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);Arcade;pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);Final Burn Alpha;pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);MAME (Advance);pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);MAME (Libretro);pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);MAME (Mame4all);pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble2x;Puzzle Bobble 2X (Ver 2.2J 1995/11/11);MAME;pbobble2;1995;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);Arcade;;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);Arcade;;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);Final Burn Alpha;;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);MAME (Advance);;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);MAME (Libretro);;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);MAME (Mame4all);;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3;Puzzle Bobble 3 (Ver 2.1O 1996/09/27);MAME;;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);Arcade;pbobble3;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);Arcade;pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);Final Burn Alpha;pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);MAME (Advance);pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);MAME (Libretro);pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);MAME (Mame4all);pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3j;Puzzle Bobble 3 (Ver 2.1J 1996/09/27);MAME;pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);Arcade;pbobble3;1996;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);Arcade;pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);Final Burn Alpha;pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);MAME (Advance);pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);MAME (Libretro);pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);MAME (Mame4all);pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble3u;Puzzle Bobble 3 (Ver 2.1A 1996/09/27);MAME;pbobble3;1996;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);Arcade;;1997;Taito Corporation;Puzzle / Toss;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);Arcade;;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);Final Burn Alpha;;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);MAME (Advance);;1997;Taito Corporation;Puzzle;;;;;0;;;;;
pbobble4;Puzzle Bobble 4 (Ver 2.04O 1997/12/19);MAME (Libretro);;1997;Taito Corporation;Puzzle;;;;;0;;;;;
