#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Ninja Gaiden (USA, Europe);Ninja Gaiden (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Olympic Gold (USA);Olympic Gold (USA);Sega Gamegear;;;;;;;;;;;;;;
Ottifants, The (Europe);Ottifants, The (Europe);Sega Gamegear;;;;;;;;;;;;;;
OutRun Europa (USA, Europe);OutRun Europa (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
PGA Tour 96 (USA, Europe);PGA Tour 96 (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
PGA Tour Golf (USA);PGA Tour Golf (USA);Sega Gamegear;;;;;;;;;;;;;;
PGA Tour Golf II (USA, Europe);PGA Tour Golf II (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Pac-Attack (USA, Europe);Pac-Attack (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Pac-Man (USA);Pac-Man (USA);Sega Gamegear;;;;;;;;;;;;;;
Paperboy (USA, Europe);Paperboy (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Paperboy II (USA, Europe);Paperboy II (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Pengo (USA, Europe);Pengo (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Pete Sampras Tennis (Europe);Pete Sampras Tennis (Europe);Sega Gamegear;;;;;;;;;;;;;;
Phantom 2040 (USA, Europe);Phantom 2040 (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Pinball Dreams (USA);Pinball Dreams (USA);Sega Gamegear;;;;;;;;;;;;;;
Poker Faced Paul's Blackjack (USA);Poker Faced Paul's Blackjack (USA);Sega Gamegear;;;;;;;;;;;;;;
Poker Faced Paul's Gin (USA);Poker Faced Paul's Gin (USA);Sega Gamegear;;;;;;;;;;;;;;
Poker Faced Paul's Poker (USA);Poker Faced Paul's Poker (USA);Sega Gamegear;;;;;;;;;;;;;;
Poker Faced Paul's Solitaire (USA);Poker Faced Paul's Solitaire (USA);Sega Gamegear;;;;;;;;;;;;;;
Power Strike II (Japan, Europe);Power Strike II (Japan, Europe);Sega Gamegear;;;;;;;;;;;;;;
Predator 2 (USA, Europe);Predator 2 (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Primal Rage (USA, Europe);Primal Rage (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
Prince of Persia (USA, Europe);Prince of Persia (USA, Europe);Sega Gamegear;;;;;;;;;;;;;;
