
algar_l1;Algar (L-1);Mame (Mame4all);;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
algar_l1;Algar (L-1);Mame;;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
aliencr;Alien Crush;Arcade;;1989;Hudson Soft;Pinball;;;;;0;;;;;
aliencr;Alien Crush;Mame (Advance);;1989;Hudson Soft;Pinball;;;;;0;;;;;
aliencr;Alien Crush;Mame (Libretro);;1989;Hudson Soft;Pinball;;;;;0;;;;;
aliencr;Alien Crush;Mame (Mame4all);;1989;Hudson Soft;Pinball;;;;;0;;;;;
aliencr;Alien Crush;Mame;;1989;Hudson Soft;Pinball;;;;;0;;;;;
alpok_f6;Alien Poker (L-6 French speech);Arcade;alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_f6;Alien Poker (L-6 French speech);Mame (Advance);alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_f6;Alien Poker (L-6 French speech);Mame (Libretro);alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_f6;Alien Poker (L-6 French speech);Mame (Mame4all);alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_f6;Alien Poker (L-6 French speech);Mame;alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l2;Alien Poker (L-2);Arcade;alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l2;Alien Poker (L-2);Mame (Advance);alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l2;Alien Poker (L-2);Mame (Libretro);alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l2;Alien Poker (L-2);Mame (Mame4all);alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l2;Alien Poker (L-2);Mame;alpok_l6;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l6;Alien Poker (L-6);Arcade;;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l6;Alien Poker (L-6);Mame (Advance);;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l6;Alien Poker (L-6);Mame (Libretro);;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
alpok_l6;Alien Poker (L-6);Mame (Mame4all);;1980;Williams;Electromechanical / Pinball;;;;;0;;;;;
